Input,Mean_Abs_Weight,Max_Abs_Weight,Std,Normalized_Importance,Status
0,0.052091,0.197919,0.064109,90.92,USED
1,0.050171,0.199535,0.061472,87.57,USED
2,0.049841,0.178656,0.061366,86.99,USED
3,0.048535,0.160064,0.059568,84.71,USED
4,0.050539,0.218886,0.063199,88.21,USED
5,0.050488,0.193096,0.063614,88.12,USED
6,0.053049,0.201500,0.065772,92.59,USED
7,0.050900,0.199216,0.063525,88.84,USED
8,0.051963,0.176697,0.063918,90.70,USED
9,0.051123,0.167595,0.064086,89.23,USED
10,0.049012,0.174597,0.061360,85.55,USED
11,0.048171,0.160112,0.059790,84.08,USED
12,0.047127,0.233134,0.059961,82.26,USED
13,0.055162,0.193630,0.070292,96.28,USED
14,0.050090,0.158414,0.061384,87.43,USED
15,0.053460,0.165840,0.066564,93.31,USED
16,0.050712,0.207321,0.062571,88.51,USED
17,0.050358,0.188498,0.064718,87.90,USED
18,0.046970,0.191779,0.059843,81.98,USED
19,0.050363,0.194679,0.061831,87.91,USED
20,0.046688,0.228905,0.059833,81.49,USED
21,0.049642,0.209574,0.063058,86.65,USED
22,0.052121,0.199837,0.063364,90.97,USED
23,0.048796,0.180799,0.060918,85.17,USED
24,0.050289,0.158240,0.061701,87.78,USED
25,0.045906,0.222207,0.060054,80.13,USED
26,0.048867,0.197240,0.061231,85.30,USED
27,0.047173,0.195588,0.060607,82.34,USED
28,0.050856,0.190945,0.064651,88.77,USED
29,0.051558,0.189147,0.064570,89.99,USED
30,0.048059,0.182624,0.061625,83.88,USED
31,0.048222,0.186707,0.059719,84.17,USED
32,0.048566,0.212307,0.061899,84.77,USED
33,0.050291,0.180062,0.060939,87.78,USED
34,0.051343,0.171720,0.062619,89.62,USED
35,0.044303,0.198789,0.056477,77.33,USED
36,0.048398,0.196789,0.061545,84.48,USED
37,0.050812,0.205374,0.063637,88.69,USED
38,0.050771,0.179781,0.062652,88.62,USED
39,0.050361,0.169184,0.062820,87.90,USED
40,0.049859,0.205498,0.062136,87.03,USED
41,0.053178,0.186843,0.065489,92.82,USED
42,0.048072,0.163155,0.060268,83.91,USED
43,0.051375,0.180774,0.063736,89.67,USED
44,0.049097,0.171280,0.059641,85.70,USED
45,0.054511,0.211205,0.068607,95.15,USED
46,0.044500,0.165141,0.057420,77.67,USED
47,0.047393,0.173545,0.058909,82.72,USED
48,0.047200,0.177286,0.058381,82.38,USED
49,0.050774,0.193841,0.063241,88.62,USED
50,0.050888,0.198633,0.063623,88.82,USED
